A,B
0.5,0
3,0.25
1,1
0.5,0
1,0.5
0.5,1
2,1.5
1,1
0.5,3
2,7
10,6
0.5,5
1,4
1.5,1
0.5,3
1.5,7
0.5,10
6,4
3,5
0.5,4
0.5,4
3,3
10,10
4,2.5
5,0.5
1,4
5,2
1.5,1
0.75,2
1.5,1.5
0.25,1
4,2
4,4
0.25,6
4,4
1,0.5
3,3
10,0.25
1,0.5
6,3
0.5,0
0.5,6
1,0.5
0.5,5
10,5
0.25,0.25
2,5
7,7
4,2
10,0.5
10,4
6,6
20,3
3,0.5
0.5,4
0.5,2
5,1
3,5
2,1
15,3
12,1
6,3
2,0.25
10,3
1,2
4,1
